Image	X3UTR	Transcript	Cell_Stage	Total_No_RNA	No_RNA_clusters	No_RNA_in_clusters	fraction_RNA_in_clusters	Average_No_RNA_per_Cluster
41	2-cell_01_C1	clu-1	clu-1	2-cell	1985	91	980	0.493702771	10.76923077
42	2-cell_01_C2	clu-1	mNG	2-cell	4606	170	1380	0.299609205	8.117647059
43	2-cell_09_C1	clu-1	clu-1	2-cell	2013	73	911	0.452558371	12.47945205
44	2-cell_09_C2	clu-1	mNG	2-cell	5152	190	177	0.03435559	0.931578947
45	2-cell_11_C1	clu-1	clu-1	2-cell	2038	79	1053	0.516683023	13.32911392
46	2-cell_11_C2	clu-1	mNG	2-cell	4622	177	1212	0.262224145	6.847457627
47	2-cell_14_C1	clu-1	clu-1	2-cell	1167	50	450	0.385604113	9
48	2-cell_14_C2	clu-1	mNG	2-cell	2386	49	319	0.133696563	6.510204082
49	2-cell_15_C1	clu-1	clu-1	2-cell	2310	79	1032	0.446753247	13.06329114
50	2-cell_15_C2	clu-1	mNG	2-cell	5103	198	1647	0.322751323	8.318181818
51	4-cell_02_C1	clu-1	clu-1	4-cell	266	13	100	0.37593985	7.692307692
52	4-cell_02_C2	clu-1	mNG	4-cell	695	10	57	0.082014388	5.7
53	4-cell_03_C1	clu-1	clu-1	4-cell	616	24	260	0.422077922	10.83333333
54	4-cell_03_C2	clu-1	mNG	4-cell	1467	28	205	0.139740968	7.321428571
55	4-cell_08_C1	clu-1	clu-1	4-cell	832	27	316	0.379807692	11.7037037
56	4-cell_08_C2	clu-1	mNG	4-cell	1747	41	344	0.196908987	8.390243902
57	4-cell_15_C1	clu-1	clu-1	4-cell	399	15	118	0.295739348	7.866666667
58	4-cell_15_C2	clu-1	mNG	4-cell	1658	42	278	0.167671894	6.619047619
59	4-cell_16_C1	clu-1	clu-1	4-cell	559	23	252	0.450805009	10.95652174
60	4-cell_16_C2	clu-1	mNG	4-cell	1112	9	56	0.050359712	6.222222222
61	8-cell_03_C1	clu-1	clu-1	8-cell	437	22	204	0.466819222	9.272727273
62	8-cell_03_C2	clu-1	mNG	8-cell	904	25	180	0.199115044	7.2
63	8-cell_04_C1	clu-1	clu-1	8-cell	691	24	295	0.426917511	12.29166667
64	8-cell_04_C2	clu-1	mNG	8-cell	953	17	144	0.151101784	8.470588235
65	8-cell_07_C1	clu-1	clu-1	8-cell	187	7	60	0.320855615	8.571428571
66	8-cell_07_C2	clu-1	mNG	8-cell	690	23	212	0.307246377	9.217391304
67	8-cell_10_C1	clu-1	clu-1	8-cell	403	15	167	0.41439206	11.13333333
68	8-cell_10_C2	clu-1	mNG	8-cell	1066	23	241	0.226078799	10.47826087
69	8-cell_19_C1	clu-1	clu-1	8-cell	280	9	101	0.360714286	11.22222222
70	8-cell_19_C2	clu-1	mNG	8-cell	480	9	66	0.1375	7.333333333
71	12-16-cell_05_C1	clu-1	clu-1	10-16-cell	216	7	83	0.384259259	11.85714286
72	12-16-cell_05_C2	clu-1	mNG	10-16-cell	313	7	45	0.143769968	6.428571429
73	12-16-cell_06_C1	clu-1	clu-1	10-16-cell	238	8	92	0.386554622	11.5
74	12-16-cell_06_C2	clu-1	mNG	10-16-cell	213	9	85	0.399061033	9.444444444
75	12-16-cell_08_C1	clu-1	clu-1	10-16-cell	374	10	134	0.35828877	13.4
76	12-16-cell_08_C2	clu-1	mNG	10-16-cell	213	5	57	0.267605634	11.4
77	12-16-cell_12_C1	clu-1	clu-1	10-16-cell	220	3	19	0.086363636	6.333333333
78	12-16-cell-12_C2	clu-1	mNG	10-16-cell	216	7	82	0.37962963	11.71428571
79	12-16-cell_18_C1	clu-1	clu-1	10-16-cell	386	9	81	0.20984456	9
80	12-16-cell_18_C2	clu-1	mNG	10-16-cell	127	6	41	0.322834646	6.833333333
81	4-cell_02_C1	cpg-2	mNG	4-cell	4859	116	816	0.167935789	7.034482759
82	4-cell_02_C2	cpg-2	cpg-2	4-cell	12833	473	5345	0.416504325	11.30021142
83	4-cell_04_C1	cpg-2	mNG	4-cell	3896	68	483	0.123973306	7.102941176
84	4-cell_04_C2	cpg-2	cpg-2	4-cell	11243	444	4396	0.390998844	9.900900901
85	4-cell_09_C1	cpg-2	mNG	4-cell	4031	77	488	0.121061771	6.337662338
86	4-cell_09_C2	cpg-2	cpg-2	4-cell	9299	297	2766	0.297451339	9.313131313
87	4-cell_12_C1	cpg-2	mNG	4-cell	3509	76	614	0.174978626	8.078947368
88	4-cell_12_C2	cpg-2	cpg-2	4-cell	10143	321	4020	0.396332446	12.52336449
89	4-cell_13_C1	cpg-2	mNG	4-cell	1872	37	271	0.144764957	7.324324324
90	4-cell_13_C2	cpg-2	cpg-2	4-cell	5635	236	2466	0.437622005	10.44915254
91	8-cell_02_C1	cpg-2	mNG	8-cell	945	21	261	0.276190476	12.42857143
92	8-cell_02_C2	cpg-2	cpg-2	8-cell	833	23	239	0.286914766	10.39130435
93	8-cell_03_C1	cpg-2	mNG	8-cell	874	12	73	0.083524027	6.083333333
94	8-cell_03_C2	cpg-2	cpg-2	8-cell	3111	97	1168	0.37544198	12.04123711
95	8-cell_05_C1	cpg-2	mNG	8-cell	1093	5	40	0.036596523	8
96	8-cell_05_C2	cpg-2	cpg-2	8-cell	3239	80	723	0.223217042	9.0375
97	8-cell_10_C1	cpg-2	mNG	8-cell	1396	27	270	0.193409742	10
98	8-cell_10_C2	cpg-2	cpg-2	8-cell	3091	101	1239	0.400841152	12.26732673
99	8-cell_15_C1	cpg-2	mNG	8-cell	407	5	32	0.078624079	6.4
100	8-cell_15_C2	cpg-2	cpg-2	8-cell	1297	31	308	0.237471087	9.935483871
101	10-16-cell_04_C1	cpg-2	mNG	10-16-cell	623	12	102	0.163723917	8.5
102	10-16-cell_04_C2	cpg-2	cpg-2	10-16-cell	1177	32	351	0.298215803	10.96875
103	10-16-cell_06_C1	cpg-2	mNG	10-16-cell	462	5	38	0.082251082	7.6
104	10-16-cell_06_C2	cpg-2	cpg-2	10-16-cell	1070	26	221	0.206542056	8.5
105	10-16-cell_07_C1	cpg-2	mNG	10-16-cell	778	20	181	0.232647815	9.05
106	10-16-cell_07_C2	cpg-2	cpg-2	10-16-cell	749	16	194	0.259012016	12.125
107	10-16-cell_11_C1	cpg-2	mNG	10-16-cell	606	14	166	0.273927393	11.85714286
108	10-16-cell_11_C2	cpg-2	cpg-2	10-16-cell	702	17	256	0.364672365	15.05882353
109	10-16-cell_19_C1	cpg-2	mNG	10-16-cell	657	13	135	0.205479452	10.38461538
110	10-16-cell_19_C2	cpg-2	cpg-2	10-16-cell	1420	26	787	0.554225352	30.26923077
111	17-24-cell_01_C1	cpg-2	mNG	18-28-cell	356	6	92	0.258426966	15.33333333
112	17-24-cell_01_C2	cpg-2	cpg-2	18-28-cell	312	8	103	0.330128205	12.875
113	17-24-cell_03_C1	cpg-2	mNG	18-28-cell	355	8	97	0.273239437	12.125
114	17-24-cell_03_C2	cpg-2	cpg-2	18-28-cell	583	12	219	0.375643225	18.25
115	17-24-cell_06_C1	cpg-2	mNG	18-28-cell	200	6	49	0.245	8.166666667
116	17-24-cell_06_C2	cpg-2	cpg-2	18-28-cell	527	12	296	0.561669829	24.66666667
117	17-24-cell_07_C1	cpg-2	mNG	18-28-cell	247	3	64	0.259109312	21.33333333
118	17-24-cell_07_C2	cpg-2	cpg-2	18-28-cell	792	11	327	0.412878788	29.72727273
119	17-24-cell_14_C1	cpg-2	mNG	18-28-cell	299	0	0	0	NA
120	17-24-cell_14_C2	cpg-2	cpg-2	18-28-cell	425	14	98	0.230588235	7
121	4-cell_03_C1	nos-2	nos-2	4-cell	6565	270	2278	0.346991622	8.437037037
122	4-cell_03_C2	nos-2	mNG	4-cell	9137	355	3176	0.34759768	8.946478873
123	4-cell_03-2_C1	nos-2	nos-2	4-cell	7906	298	3292	0.416392613	11.04697987
124	4-cell_03-2_C2	nos-2	mNG	4-cell	11900	475	7104	0.59697479	14.95578947
125	4-cell_04_C1	nos-2	nos-2	4-cell	6906	209	2161	0.312916305	10.33971292
126	4-cell_04_C2	nos-2	mNG	4-cell	6365	210	2098	0.329615082	9.99047619
127	4-cell_06_C1	nos-2	nos-2	4-cell	12369	518	6540	0.528741208	12.62548263
128	4-cell_06_C2	nos-2	mNG	4-cell	9858	411	4557	0.462264151	11.08759124
129	4-cell_09_C1	nos-2	nos-2	4-cell	9179	333	5190	0.56542107	15.58558559
130	4-cell_09_C2	nos-2	mNG	4-cell	7007	275	3385	0.48308834	12.30909091
133	8-cell_02-2_C1	nos-2	nos-2	8-cell	813	11	334	0.410824108	30.36363636
134	8-cell_02-2_C2	nos-2	mNG	8-cell	3602	84	1580	0.438645197	18.80952381
135	8-cell_05_C1	nos-2	nos-2	8-cell	4037	96	1246	0.308645033	12.97916667
136	8-cell_05_C2	nos-2	mNG	8-cell	3690	91	887	0.240379404	9.747252747
131	8-cell_06_C1	nos-2	nos-2	8-cell	5964	198	2412	0.404426559	12.18181818
132	8-cell_06_C2	nos-2	mNG	8-cell	5807	223	2537	0.436886516	11.37668161
137	8-cell_07_C1	nos-2	nos-2	8-cell	9638	350	3665	0.380265615	10.47142857
138	8-cell_07_C2	nos-2	mNG	8-cell	7812	284	2981	0.381592422	10.49647887
139	8-cell_16_C1	nos-2	nos-2	8-cell	6602	154	2071	0.31369282	13.44805195
140	8-cell_16_C2	nos-2	mNG	8-cell	4899	133	1611	0.328842621	12.11278195
141	10-16-cell_02_C1	nos-2	nos-2	10-16-cell	2039	29	1111	0.544874939	38.31034483
142	10-16-cell_02_C2	nos-2	mNG	10-16-cell	1596	29	822	0.515037594	28.34482759
143	10-16-cell_05_C1	nos-2	nos-2	10-16-cell	2118	30	705	0.33286119	23.5
144	10-16-cell_05_C2	nos-2	mNG	10-16-cell	776	16	353	0.454896907	22.0625
145	10-16-cell_07_C1	nos-2	nos-2	10-16-cell	1036	17	404	0.38996139	23.76470588
146	10-16-cell_07_C2	nos-2	mNG	10-16-cell	1056	18	573	0.542613636	31.83333333
147	10-16-cell_08_C1	nos-2	nos-2	10-16-cell	1112	13	156	0.14028777	12
148	10-16-cell_08_C2	nos-2	mNG	10-16-cell	1085	14	271	0.249769585	19.35714286
149	10-16-cell_12_C1	nos-2	nos-2	10-16-cell	3027	37	1049	0.346547737	28.35135135
150	10-16-cell_12_C2	nos-2	mNG	10-16-cell	3110	47	1122	0.360771704	23.87234043
151	18-28-cell_03_C1	nos-2	nos-2	18-28-cell	1524	33	417	0.273622047	12.63636364
152	18-28-cell_03_C2	nos-2	mNG	18-28-cell	1252	24	221	0.176517572	9.208333333
153	18-28-cell_04_C1	nos-2	nos-2	18-28-cell	1395	24	809	0.579928315	33.70833333
154	18-28-cell_04_C2	nos-2	mNG	18-28-cell	1241	26	705	0.56809025	27.11538462
155	18-28-cell_08_C1	nos-2	nos-2	18-28-cell	1287	25	662	0.514374514	26.48
156	18-28-cell_08_C2	nos-2	mNG	18-28-cell	1053	18	552	0.524216524	30.66666667
157	18-28-cell_11_C1	nos-2	nos-2	18-28-cell	1617	15	823	0.508967223	54.86666667
158	18-28-cell_11_C2	nos-2	mNG	18-28-cell	809	11	262	0.323856613	23.81818182
159	18-28-cell_18_C1	nos-2	nos-2	18-28-cell	2078	100	712	0.342637151	7.12
160	18-28-cell_18_C2	nos-2	mNG	18-28-cell	1046	13	211	0.201720841	16.23076923
